feature,importance
Consequence_group_Synonymous,0.54882604
consequence_synonymous_variant,0.3145101
impact_num,0.040419754
sift_score,0.013816877
Consequence_group_Missense,0.0069845603
polyphen_score,0.006220034
Consequence_group_Non_coding,0.0026947726
gene_COL1A1,0.0023324708
gene_COL3A1,0.0021178876
gene_DNAH11,0.0016274387
consequence_splice_acceptor_variant,0.0014477359
gene_KAT6A,0.0012292028
gene_SPI1,0.0011802954
gene_DNAH5,0.0011690699
gene_FBN1,0.0011132257
gene_MACF1,0.0011035498
gene_KMT2D,0.0010959075
gene_COL4A5,0.0010749245
gene_KMT2B,0.0010491138
gene_CACNA1H,0.0010443723
gene_TTN,0.0009806626
gene_KMT2C,0.000974478
gene_RYR1,0.0009574062
gene_CHD7,0.0009531339
gene_ATRX,0.00095273426
gene_NEB,0.00092125544
gene_RAI1,0.0009164261
gene_ABCA4,0.0008966657
gene_MTOR,0.00087478326
gene_PAH,0.00086448045
consequence_splice_donor_variant,0.0008600419
gene_CACNA1C,0.000847091
gene_COL4A4,0.00083268934
gene_TTR,0.00082517834
gene_OTC,0.0008145795
gene_CACNA1E,0.0008085007
gene_ARID1A,0.0008023682
gene_SYNGAP1,0.00079509453
gene_EDA,0.00078698964
consequence_nonsense,0.0007839565
gene_ITGA2B,0.00078356033
gene_PMM2,0.0007663165
gene_G6PD,0.00075018796
gene_KMT2E,0.0007389181
gene_F8,0.0007338936
gene_KANSL1,0.0007235558
gene_EP300,0.00071997684
gene_ARID1B,0.00071678887
gene_RNF213,0.00071505306
gene_ALPL,0.0007059612
gene_GALNS,0.00070193654
gene_PIK3CA,0.00070129737
gene_SLC2A1,0.00069824274
gene_ASXL1,0.00069694367
gene_HIVEP2,0.00068293995
gene_COL7A1,0.00067849486
gene_ATP7A,0.0006767215
gene_ABCD1,0.00067251484
gene_EHMT1,0.0006683893
gene_COL4A3,0.0006528279
gene_BRCA2,0.00064993656
gene_MYO15A,0.00063683133
gene_SETBP1,0.00063674396
gene_OBSCN,0.00063223456
gene_CFTR,0.00062966964
gene_ACTA1,0.0006124313
gene_MYH7,0.0005942354
gene_USH2A,0.0005875151
gene_SACS,0.00058274873
gene_TARDBP,0.0005776979
gene_SPTAN1,0.00057724054
gene_NF1,0.0005700258
gene_FTH1,0.00056812796
gene_COL1A2,0.0005250816
gene_AR,0.00052455347
gene_SAMD9,0.0005072896
gene_NOTCH1,0.0004867716
gene_F9,0.0004159316
gene_SBF1,0.00039863365
gene_DVL2,0.00032214544
gene_GAA,0.00031207522
gene_ABCD4,0.00030891012
gene_IDS,0.00030054306
gene_LDLR,0.00029276585
gene_MLH1,0.0002879643
gene_BRCA1,0.00028508963
gene_GRIN2A,0.00026744476
gene_CREBBP,0.00025134606
gene_COL6A3,0.00024914287
gene_ATM,0.00024717994
gene_CUL3,0.00024389605
gene_GHRHR,0.0002405356
gene_TP53,0.00023632523
gene_TSC2,0.00023009902
gene_KCNQ1,0.00022955379
gene_CDH1,0.0002019676
gene_HPS1,0.00019819153
gene_MFSD8,0.00019466391
gene_KAT6B,0.00018771825
gene_G6PC1,0.00017875801
gene_COL2A1,0.00015323365
gene_LMNA,0.00013645964
gene_WFS1,9.5827345e-05
gene_RAD21,9.09342e-05
gene_CUBN,8.618012e-05
gene_ATP6V1B1,8.612955e-05
gene_MARK2,8.2564e-05
gene_COL9A2,7.363748e-05
gene_ALG1,6.9692614e-05
gene_ASPA,6.746731e-05
gene_MUC16,6.189376e-05
gene_VPS13A,4.701596e-05
gene_PAX6,4.6529178e-05
gene_COMP,4.258431e-05
gene_GRIN2B,3.903878e-05
gene_PAX2,3.8335995e-05
gene_MERTK,3.8234844e-05
gene_APC,3.498223e-05
gene_PRKN,2.8979584e-05
gene_GCK,7.383978e-06
gene_CBS,2.5161157e-06
gene_PPARG,0.0
gene_POTEM,0.0
gene_PPAN,0.0
gene_PPA2,0.0
gene_POU1F1,0.0
gene_POU3F2,0.0
gene_POU3F3,0.0
gene_POU6F2,0.0
gene_POU4F3,0.0
gene_POU3F4,0.0
gene_POU4F1,0.0
gene_PPARGC1A,0.0
gene_PPP1R13B,0.0
gene_PPP1R12C,0.0
gene_PPP1R12A,0.0
gene_PPP1CB,0.0
gene_PROM2,0.0
gene_PPM1K,0.0
gene_PPM1F,0.0
gene_PPM1D,0.0
gene_PPM1B,0.0
gene_PPL,0.0
gene_PEX19,0.0
gene_PPIL1,0.0
gene_PPIF,0.0
gene_PPID,0.0
gene_PPIB,0.0
gene_PPHLN1,0.0
gene_PPFIA1,0.0
gene_POTEH,0.0
gene_PPEF1,0.0
gene_PPCS,0.0
gene_PPARGC1B,0.0
gene_PPIP5K2,0.0
gene_POLR2C,0.0
gene_POLR2B,0.0
gene_POLR2A,0.0
gene_POLR1D,0.0
gene_POLR1C,0.0
gene_PROP1,0.0
gene_POLR1A,0.0
gene_POLQ,0.0
gene_POLN,0.0
gene_PROS1,0.0
gene_POP1,0.0
gene_POLK,0.0
gene_POLH,0.0
gene_POLG2,0.0
gene_POLG,0.0
gene_PDZD4,0.0
gene_POLE2,0.0
gene_PROSER2,0.0
gene_PEX2,0.0
gene_POLE,0.0
gene_POLD2,0.0
gene_POLD1,0.0
gene_POLM,0.0
gene_POTED,0.0
gene_POT1,0.0
gene_POSTN,0.0
gene_PORCN,0.0
gene_POR,0.0
gene_POPDC3,0.0
gene_POPDC1,0.0
gene_PPP1R13L,0.0
gene_PON2,0.0
gene_POMZP3,0.0
gene_POLR2F,0.0
gene_POMT1,0.0
gene_POMK,0.0
gene_POMGNT2,0.0
gene_POMGNT1,0.0
gene_POMC,0.0
gene_POM121L2,0.0
gene_POLRMT,0.0
gene_POLR3GL,0.0
gene_POLR3F,0.0
gene_POLR3B,0.0
gene_POLR3A,0.0
gene_POMT2,0.0
gene_PREX1,0.0
gene_PEPD,0.0
gene_PER1,0.0
gene_PREPL,0.0
gene_PRDX4,0.0
gene_PRDX1,0.0
gene_PRDM9,0.0
gene_PRDM8,0.0
gene_PRDM6,0.0
gene_PRDM5,0.0
gene_PPP1R3A,0.0
gene_PRDM16,0.0
gene_PRDM13,0.0
gene_PRDM12,0.0
gene_PRKRA,0.0
gene_PER2,0.0
gene_PRDM10,0.0
gene_PRDM1,0.0
gene_PRB4,0.0
gene_PRKX,0.0
gene_PRB3,0.0
gene_PRB2,0.0
gene_PRDM2,0.0
gene_PRKG1,0.0
gene_PRKDC,0.0
gene_PEA15,0.0
gene_PRKG2,0.0
gene_PRKD2,0.0
gene_PRKD1,0.0
gene_PRKCSH,0.0
gene_PRKCG,0.0
gene_PRKCE,0.0
gene_PRKCD,0.0
gene_PREX2,0.0
gene_PRKAR1B,0.0
gene_PRKAR1A,0.0
gene_PEAR1,0.0
gene_PRKAG2,0.0
gene_PELI2,0.0
gene_PRKACB,0.0
gene_PRKACA,0.0
gene_PRIMA1,0.0
gene_PRIM1,0.0
gene_PRICKLE2,0.0
gene_PRF1,0.0
gene_PRKCB,0.0
gene_PPP2R1A,0.0
gene_PPP2CA,0.0
gene_PPP1R9B,0.0
gene_PPP1R9A,0.0
gene_PROC,0.0
gene_PRODH,0.0
gene_PPP1R3F,0.0
gene_PES1,0.0
gene_PEX1,0.0
gene_PROK2,0.0
gene_PRAMEF7,0.0
gene_PEX10,0.0
gene_PEX12,0.0
gene_PEX13,0.0
gene_PPP1R37,0.0
gene_PEX14,0.0
gene_PPP1R21,0.0
gene_PPP1R16B,0.0
gene_PPP1R15B,0.0
gene_PPP1R15A,0.0
gene_PROM1,0.0
gene_PEX16,0.0
gene_PROKR2,0.0
gene_PER3,0.0
gene_PERM1,0.0
gene_PRAMEF2,0.0
gene_PRAMEF18,0.0
gene_PRAM1,0.0
gene_PRAC1,0.0
gene_PQBP1,0.0
gene_PPT1,0.0
gene_PPRC1,0.0
gene_PRL,0.0
gene_PPP6R2,0.0
gene_PPP2R1B,0.0
gene_PRMT7,0.0
gene_PPP2R5D,0.0
gene_PPP2R5C,0.0
gene_PPP2R5B,0.0
gene_PRMT8,0.0
gene_PPP2R3A,0.0
gene_PPP2R2C,0.0
gene_PERP,0.0
gene_PRND,0.0
gene_PRNP,0.0
gene_POLA1,0.0
gene_PPP3CA,0.0
gene_PITX2,0.0
gene_PITRM1,0.0
gene_PITPNM3,0.0
gene_PISD,0.0
gene_PIP5K1C,0.0
gene_PIP5K1A,0.0
gene_PINK1,0.0
gene_PIMREG,0.0
gene_PIKFYVE,0.0
gene_PIK3R5,0.0
gene_PIK3R2,0.0
gene_PIK3R1,0.0
gene_PROSER3,0.0
gene_PIK3CG,0.0
gene_PIK3CD,0.0
gene_PGAP2,0.0
gene_PIK3C2G,0.0
gene_PIK3C2B,0.0
gene_PIK3C2A,0.0
gene_PIK3AP1,0.0
gene_PIGZ,0.0
gene_PIGV,0.0
gene_PIGU,0.0
gene_PIGT,0.0
gene_PIGS,0.0
gene_PIK3IP1,0.0
gene_PLA2G6,0.0
gene_PLA2G4A,0.0
gene_PLA2G3,0.0
gene_PKP4-AS1,0.0
gene_PKP4,0.0
gene_PKP2,0.0
gene_PKP1,0.0
gene_PKN3,0.0
gene_PKN1,0.0
gene_PKMYT1,0.0
gene_PKLR,0.0
gene_PKIG,0.0
gene_PITX3,0.0
gene_PKHD1,0.0
gene_PKDCC,0.0
gene_PKD2L2,0.0
gene_PKD2,0.0
gene_PGAP1,0.0
gene_PKD1L3,0.0
gene_PKD1L2,0.0
gene_PKD1L1,0.0
gene_PKD1,0.0
gene_PJVK,0.0
gene_PJA1,0.0
gene_PIWIL1,0.0
gene_PKHD1L1,0.0
gene_PHLPP2,0.0
gene_PHLDB3,0.0
gene_PHLDB2,0.0
gene_PHLDA2,0.0
gene_PHKG2,0.0
gene_PHKB,0.0
gene_PHKA2,0.0
gene_PHKA1,0.0
gene_PHIP,0.0
gene_PHGDH,0.0
gene_PHF8,0.0
gene_PHF7,0.0
gene_PIGR,0.0
gene_PHF5A,0.0
gene_PHF3,0.0
gene_PHF21A,0.0
gene_PHF20,0.0
gene_PHF2,0.0
gene_PHEX,0.0
gene_PHACTR4,0.0
gene_PHACTR1,0.0
gene_PGS1,0.0
gene_PGRMC1,0.0
gene_PGM3,0.0
gene_PGM1,0.0
gene_PHF6,0.0
gene_PIGQ,0.0
gene_PIGO,0.0
gene_PIGN,0.0
gene_PIGM,0.0
gene_PGBD1,0.0
gene_PGBD5,0.0
gene_PIGL,0.0
gene_PIGK,0.0
gene_PIGG,0.0
gene_PIGC,0.0
gene_PIGB,0.0
gene_PIGA,0.0
gene_PHOX2B,0.0
gene_PIEZO2,0.0
gene_PIEZO1,0.0
gene_PIDD1,0.0
gene_PICALM,0.0
gene_PIBF1,0.0
gene_PIAS4,0.0
gene_PI4KB,0.0
gene_PI4KA,0.0
gene_PI4K2A,0.0
gene_PHYHD1,0.0
gene_PHYH,0.0
gene_PHRF1,0.0
gene_PGK1,0.0
gene_PIF1,0.0
gene_PNLIP,0.0
gene_PNLDC1,0.0
gene_PNKP,0.0
gene_PNKD,0.0
gene_PNCK,0.0
gene_PMVK,0.0
gene_PMS2,0.0
gene_PMPCB,0.0
gene_PMPCA,0.0
gene_PMP22,0.0
gene_PMP2,0.0
gene_PEX6,0.0
gene_PLA2G7,0.0
gene_PML,0.0
gene_PMFBP1,0.0
gene_PMEPA1,0.0
gene_PLXND1,0.0
gene_PLXNC1,0.0
gene_PLXNB3,0.0
gene_PLXNB2,0.0
gene_PLXNB1,0.0
gene_PLXNA4,0.0
gene_PLXNA3,0.0
gene_PLXNA2,0.0
gene_PLXNA1,0.0
gene_PEX7,0.0
gene_POGZ,0.0
gene_POGLUT1,0.0
gene_POGK,0.0
gene_PEX26,0.0
gene_POFUT1,0.0
